item_no,colour,gender_description,brand,product_group,min_age,max_age
206890150141030846,beige,unisex,bloomingville,furniture,,
7637494654837559066,pink,girls,petit bateau,clothing sets,0.125,2.0
7969520735315050609,beige,unisex,bobo choses,jumpers and knitwear,1.0,11.0
-565751122846696741,white,unisex,piupiuchick,tops,1.0,14.0
6688930722259797984,green,unisex,filibabba,baby feeding,,
-986563869230438055,green,unisex,uppababy,stroller accessories,,
-4226786381331553849,grey,unisex,lego,storage,,
5352538359899486848,grey,unisex,camper,shoes,3.0,7.0
-1539474342252725555,green,unisex,gullkorn design,coats and jackets,1.0,10.0
5639538108286877348,grey,unisex,buddy & hope,textile,,
5615283876538619392,white,unisex,bonpoint,toiletries,,
-5612336175674166891,pink,unisex,bjällra couture,scarves,,
8789177044292485713,blue,boys,hatley,tops,1.0,8.0
7000862793272309359,pink,girls,oeuf,all in ones,0.375,7.0
-2103880288881825542,white,unisex,donsje amsterdam,all in ones,0.125,2.0
457467103957514638,beige,unisex,oas,headwear,0.125,0.125
4312382156918101695,pink,girls,bisgaard,sandals,3.0,8.0
2649980621507743811,black,girls,petit bateau,skirts,2.0,12.0
7305770975500607112,black,unisex,hunter,sandals,5.0,8.0
5751912426656680356,white,unisex,absorba,headwear,0.125,2.0
-84158651805388339,black,girls,molo,underwear,1.0,14.0
548896444471212128,white,girls,mimi & lula,bags,,
843468095874054899,blue,girls,cyrillus,dresses,2.0,14.0
-7421572435848463324,grey,girls,molo,dresses,1.0,12.0
6754516867413984927,beige,girls,mini rodini,tops,0.375,11.0
5759060543041333936,blue,unisex,cybex,car seats,,
-8756697707711030875,blue,unisex,kuling,gloves and mittens,0.625,8.0
-2026261773355101056,black,unisex,bubblebum,car seats,,
842352495515042020,yellow,boys,molo,tops,3.0,14.0
-8150507846269859328,white,girls,garcia,tops,7.0,14.0
7875147516452490830,beige,unisex,kuling,coveralls,0.625,4.0
-4346255977469178791,pink,unisex,drbrown,baby feeding,,
-2668239292748215954,brown,unisex,joha,scarves,,
-8748692560361981849,navy,unisex,by nils,sandals,0.875,6.0
6809256719880754247,brown,unisex,kuling,gloves and mittens,0.125,7.0
4912778751187128452,grey,girls,geox,boots,0.875,5.0
-2479818871781199234,cream,unisex,bobo choses,jumpers and knitwear,1.0,11.0
-7980860398635237724,blue,unisex,falke,underwear,2.0,8.0
-6275353626440233481,grey,boys,falke,underwear,2.0,12.0
-3918125044733066004,black,girls,adidas,jumpers and knitwear,6.0,14.0
-2433220873074894213,grey,boys,lego wear,jumpers and knitwear,3.0,9.0
-3441592071915995147,cream,unisex,liewood,bedding,,
-3612867114767013858,navy,boys,hummel,clothing sets,,
7768248100342257662,navy,boys,timberland,sandals,1.0,10.0
4153855085124087766,multi color,unisex,tactic,board and parlor games,2.0,10.0
-2192066734055331916,red,girls,petit bateau,nightwear,1.0,12.0
-539800667786120483,grey,unisex,filibabba,bedding,,
-9129033514318172187,pink,girls,joha,headwear,0.125,8.0
-6112688828626233174,blue,unisex,melton,underwear,0.375,5.0
-3900884567896757616,navy,unisex,isbjörn of sweden,bottoms,1.0,8.0
8381024534274848571,red,girls,jacadi,coats and jackets,0.875,3.0
-8782867388429697203,pink,girls,kenzo,tops,2.0,14.0
-1058995796787370699,pink,girls,ralph lauren,jumpers and knitwear,6.0,14.0
4462395958523173642,brown,girls,hust&claire,tops,1.0,6.0
1939744003720873397,beige,unisex,enfant,boots,0.875,6.0
4070145858996049488,white,unisex,vans,tops,,
-8237199890689795721,blue,unisex,småfolk,coveralls,0.125,2.0
-3288213774973361223,navy,girls,ralph lauren,dresses,1.0,14.0
-4639808057108216073,black,boys,gap,bottoms,3.0,14.0
87675453341767185,green,unisex,liewood,flasks and water bottles,,
2151111551298477191,cream,unisex,oli & carol,first toys and baby toys,0.125,4.0
6160335819528741701,green,unisex,reima,underwear,1.0,14.0
-8239334394489122656,blue,unisex,absorba,bags,,
-2945443830445485446,unknown,unisex,joha,slippers,,
-2253534123005463435,black,girls,diesel,coats and jackets,3.0,14.0
-3273612054653793882,red,boys,moncler,coats and jackets,3.0,14.0
6289369332991912354,blue,unisex,liewood,tableware,,
3454538626975676642,white,girls,gullkorn design,dresses,0.625,10.0
81513440000317577,pink,girls,marmar copenhagen,bottoms,0.125,6.0
-4446994622834022554,pink,unisex,kuling,gloves and mittens,0.625,10.0
-3186458741161950621,grey,boys,adidas,shorts,3.0,14.0
8252940322987766977,blue,unisex,vans,trainers,,
97615360858325292,grey,girls,gap,dresses,3.0,14.0
5448066451714887268,black,unisex,kuling,boots,1.0,10.0
-875354872665769384,yellow,unisex,mini kyomo,jewellery and watches,,
4344341415946499273,blue,boys,ralph lauren,jumpers and knitwear,1.0,14.0
2036170139188099927,yellow,girls,louise misha,headwear,0.375,8.0
3332073641436274822,beige,unisex,kuling,clothing sets,0.625,10.0
-5063842517211058761,grey,unisex,condor,underwear,0.625,14.0
858160002758770700,black,girls,fila,bottoms,8.0,14.0
2925721577720519939,yellow,unisex,bobo choses,underwear,0.875,5.0
-8610918957152582130,grey,unisex,oyoy,textile,,
-618259946160734223,navy,boys,zadig & voltaire,jumpers and knitwear,5.0,14.0
-6367234657637100956,pink,girls,hello simone,skirts,3.0,14.0
-6751484853750501199,red,boys,ebbe kids,tops,1.0,12.0
611611741004053406,pink,girls,sproet and sprout,hair accessories,1.0,12.0
6969668160498627557,navy,boys,ralph lauren,bottoms,1.0,14.0
5716230480270005234,black,boys,fabric flavours,bottoms,4.0,10.0
-9197579848459652322,pink,girls,kavat,sandals,2.0,8.0
5372205983287079984,pink,girls,minymo,shorts,1.0,8.0
-3785236182342608935,grey,unisex,oii,bottoms,1.0,12.0
286647734396312751,black,girls,a happy brand,nightwear,1.0,10.0
-1977022885963440799,purple,unisex,sorel,boots,3.0,7.0
-1759121354207836668,grey,girls,tartine et chocolat,tops,2.0,14.0
-8884161398237782878,purple,girls,mini a ture,bottoms,2.0,8.0
-237300483311257179,black,boys,hype,tops,2.0,14.0
3342863921232541571,red,unisex,tretorn,coats and jackets,1.0,14.0
-7320846100766825157,navy,unisex,sebra,first toys and baby toys,0.125,6.0
-5773626676045036562,cream,unisex,helly hansen,coats and jackets,7.0,14.0
9012150309721699186,brown,girls,rylee + cru,bottoms,0.375,7.0
9170637457734572971,green,girls,bonpoint,nightwear,3.0,14.0
6430676050909545829,red,girls,molo,fleeces and midlayers,1.0,12.0
3707449165303466780,pink,girls,jacadi,jumpers and knitwear,0.125,0.875
11934327800201177,yellow,unisex,bobo choses,bottoms,1.0,11.0
-1446268861841664926,green,boys,hatley,nightwear,1.0,12.0
-5881270514739033887,yellow,girls,champion,tops,2.0,14.0
-7226813639203046574,blue,unisex,reima,headwear,0.375,6.0
1697340586042047589,grey,boys,timberland,tops,1.0,14.0
3696651096190733953,green,unisex,design letters,tableware,,
8746423777008148337,black,girls,ikks,bottoms,3.0,14.0
-7777782933012026913,green,unisex,design letters,tableware,,
3607292770657415768,blue,boys,nike,bottoms,5.0,14.0
-9019090789833868622,white,unisex,kids concept,storage,,
-5356070625349475080,blue,unisex,reima,coveralls,0.125,0.875
-5149044226213799594,blue,unisex,moncler,headwear,4.0,7.0
370295029126016456,pink,girls,jacadi,dresses,2.0,12.0
-3842518033725435723,navy,boys,boss,clothing sets,0.125,0.875
-1954412435412805470,white,unisex,veja,trainers,4.0,14.0
-7874328202422990016,yellow,unisex,the campamento,underwear,2.0,8.0
-4768523515366226403,purple,girls,marmar copenhagen,all in ones,0.125,2.0
-6040154282290405152,white,unisex,schleich,toy figures & playsets,,
-7287141278918432980,pink,girls,mayoral,all in ones,0.125,2.0
-6513245772645605866,cream,unisex,nadadelazos,underwear,0.375,8.0
4253400876119850376,black,unisex,rubber duck,boots,1.0,10.0
-3775191634082113847,white,girls,carrément beau,bottoms,0.375,3.0
8615791215360659780,pink,girls,velveteen,dresses,2.0,14.0
-5827460468674151694,beige,unisex,buddy & hope,stroller accessories,,
5921149908641775939,black,girls,msgm,bottoms,3.0,14.0
1578129719548413415,pink,girls,mp,underwear,0.125,11.0
-5951953595443120997,black,girls,msgm,dresses,3.0,14.0
6186273362950072718,cream,girls,fixoni,bottoms,0.125,2.0
-4448577932681374598,black,unisex,dolce & gabbana,jumpers and knitwear,0.625,2.0
8745547415683997431,black,girls,msgm,coats and jackets,3.0,14.0
5276179997907305357,cream,unisex,melton,underwear,0.125,10.0
3586502306585726538,blue,girls,les coyotes de paris,bottoms,7.0,14.0
-3276154050593361950,pink,unisex,baby annabell,dolls and doll houses,2.0,8.0
-4938591659595774676,pink,girls,stella mccartney kids,bags,,
-1643740606255389928,blue,unisex,mp,underwear,0.375,7.0
2031274316388584465,red,girls,mayoral,tops,1.0,9.0
8673603797279047455,brown,unisex,oeuf,tops,0.875,7.0
5475438704701440937,pink,girls,marmar copenhagen,all in ones,,
-3520315349612564424,pink,girls,mimi & lula,costumes,,
4591114063940655300,yellow,unisex,jox,bedding,,
8560230025842230840,purple,girls,superfit,trainers,0.875,6.0
-2697913540689879618,cream,girls,les coyotes de paris,tops,7.0,14.0
1415395327562596794,blue,unisex,marmar copenhagen,all in ones,0.125,3.0
-3077048983190619258,black,unisex,stokke,stroller parts and customisati,,
1369207143787024796,yellow,unisex,kids concept,first toys and baby toys,0.125,0.875
-809248011627862386,blue,girls,jacadi,dresses,0.375,3.0
2467335572797173143,beige,unisex,sebra,baby changing,,
3060777117627594076,brown,unisex,nofred,first toys and baby toys,,
-9173095570851536945,silver,girls,birkenstock,sandals,2.0,8.0
-1355667263825130583,cream,boys,jacadi,jumpers and knitwear,0.125,0.875
2573857856429401341,blue,unisex,hust&claire,all in ones,0.125,3.0
-2349307679121412217,pink,unisex,mini rodini,textile,,
-2335043946873694176,blue,unisex,kuling,clothing sets,0.625,12.0
867907650745626974,white,unisex,kids concept,role play,,
-3098047235478853383,white,girls,dsquared2,shorts,7.0,14.0
-7621417840972033902,orange,girls,jacadi,dresses,0.125,2.0
8598782703083762724,navy,unisex,timberland,boots,0.875,6.0
2568168226723655017,brown,unisex,liewood,bedding,,
-1930271290500738267,green,unisex,tretorn,boots,0.625,10.0
-8685601601809141009,green,girls,mayoral,all in ones,7.0,14.0
2112952157323616706,grey,unisex,stokke,stroller parts and customisati,,
5836835332905801982,black,boys,ralph lauren,tops,1.0,14.0
-8739105638018184036,beige,unisex,kids concept,textile,,
-478085712227689779,grey,girls,moschino kid-teen,dresses,3.0,14.0
3223328074417425699,pink,unisex,ebbe kids,bottoms,0.125,6.0
-713545591537799931,black,girls,bonpoint,jumpers and knitwear,3.0,14.0
-8083839799890996395,beige,unisex,liewood,outdoor play,2.0,10.0
3554695086857580700,black,unisex,britax,car seats,,
357202635068815246,blue,unisex,tartine et chocolat,all in ones,0.125,2.0
5752812647474781377,brown,unisex,celavi,bottoms,0.125,4.0
3932213514791760534,green,unisex,kids concept,soft toys,1.0,6.0
-8003272218865439896,blue,unisex,cam cam,changing and travel bags,,
4412216252927898445,green,unisex,ebbe kids,jumpers and knitwear,3.0,14.0
3248660074422702730,white,unisex,filibabba,lighting,,
7080389126469408768,grey,unisex,bugaboo,stroller accessories,,
8636618885798042520,green,girls,bobo choses,dresses,1.0,11.0
-2287087932817893755,navy,boys,moncler,coats and jackets,3.0,14.0
-3290737445843972830,brown,unisex,silly silas,all in ones,0.125,3.0
6421726098487849491,blue,girls,stella mccartney kids,bottoms,1.0,14.0
1407193293118111947,navy,girls,nike,jumpers and knitwear,5.0,14.0
5642268093592058305,beige,unisex,fub,jumpers and knitwear,1.0,9.0
1631601899410243826,blue,unisex,msgm,shorts,5.0,14.0
4943550132436007648,blue,unisex,frugi,tops,4.0,6.0
2472993520831837789,grey,unisex,moschino kid-teen,jumpers and knitwear,3.0,14.0
-619991634740702395,white,boys,adidas,tops,2.0,14.0
-2121283875345797047,grey,girls,superfit,trainers,0.875,6.0
3846254354205491933,pink,unisex,acne studios,tops,2.0,10.0
3815311209022032438,black,unisex,viking,trainers,0.875,10.0
5724987172324516592,navy,boys,scotch & soda,jumpers and knitwear,5.0,14.0
-3932929771134933071,green,unisex,jellycat,soft toys,0.125,6.0
4129297700843218562,white,girls,sonia rykiel,jumpers and knitwear,3.0,14.0
4480088330617595235,white,girls,bonpoint,tops,0.375,3.0
7672593586739602546,purple,unisex,wynken,headwear,1.0,5.0
5774935922426010032,blue,boys,tartine et chocolat,tops,3.0,8.0
2212049093090278118,red,unisex,belgium national football team,sporting replica,1.0,6.0
6081448248074952083,black,unisex,nuna,strollers,,
655024247211818902,black,unisex,the brand,underwear,0.375,5.0
4922580188173953368,green,unisex,reima,headwear,0.625,11.0
4956582206546066385,yellow,boys,liewood,swimwear and coverups,0.625,4.0
-1051212049024999281,yellow,unisex,filibabba,baby feeding,,
-6959664020229332962,blue,boys,il gufo,tops,2.0,10.0
5113094952627938486,red,girls,jacadi,hair accessories,,
-6877823796717766589,silver,girls,mimi & lula,hair accessories,,
838450580161103038,white,girls,petit bateau,textile,,
-2008237189483459325,grey,girls,il gufo,coats and jackets,3.0,10.0
-5010155324007721432,blue,unisex,liewood,baby feeding,,
3958544075576929766,beige,unisex,babymocs,headwear,0.625,8.0
-2378762619765268776,blue,boys,adidas,swimwear and coverups,1.0,8.0
2663091955496769450,navy,unisex,adidas,jumpers and knitwear,3.0,14.0
-3479493169856822993,navy,unisex,reima,headwear,0.125,0.125
3585891004465334515,brown,boys,molo,tops,1.0,10.0
7224463439705914148,green,boys,oas,swimwear and coverups,1.0,12.0
3646240683717258078,white,girls,mayoral,sandals,0.875,4.0
3815713458559781499,red,girls,stella mccartney kids,dresses,0.125,3.0
-1583361582974990224,green,unisex,carena,stroller accessories,,
-945025870199529289,white,girls,jacadi,tops,2.0,12.0
1295103675543832556,beige,girls,bonpoint,jumpers and knitwear,0.875,3.0
1308095439616414715,white,unisex,mayoral,shoes,0.125,0.875
-3553591693686129049,pink,unisex,easygrow,textile,,
1155990179223895367,pink,girls,gap,headwear,0.875,5.0
6809060874831808586,pink,girls,gcds,tops,3.0,14.0
2657396292794322653,white,unisex,brio,vehicles,2.0,8.0
8645989114434152106,black,boys,burberry,shorts,3.0,14.0
936173723421112380,blue,girls,stella mccartney kids,all in ones,1.0,12.0
2934447599966394572,blue,boys,paul smith junior,tops,2.0,14.0
-1003448895281547889,beige,unisex,1+ in the family,bottoms,0.125,2.0
-3245526660540441314,blue,boys,dsquared2,tops,7.0,14.0
8974946396177471923,black,boys,hype,flasks and water bottles,,
91687285395275165,black,boys,hype,flasks and water bottles,,
-8939590225762045585,green,boys,pom dapi,sandals,0.625,5.0
-7246989316687944345,navy,unisex,moncler,coats and jackets,0.375,3.0
-3219618528204630732,pink,girls,ralph lauren,jumpers and knitwear,1.0,6.0
1693603560578419209,pink,girls,gullkorn design,all in ones,2.0,3.0
-7663354343326673675,navy,boys,hatley,shorts,1.0,8.0
5587374999059134607,blue,girls,how to kiss a frog,coats and jackets,3.0,14.0
3392487005421324064,pink,girls,molo,headwear,0.875,3.0
