user_no,country,aov,avg_markdown
8587933979694308845,sweden,479.2,-0.2
2740387653650048572,sweden,837.5999999999999,-0.2
2084988796719274722,sweden,942.4,-0.56
-4662401680846085311,sweden,438.4,-0.62
-1086148156436227367,sweden,664.8000000000001,-0.28666667
353938263953853668,sweden,213.6,-0.51
-3683116124016444198,sweden,299.2,-0.33
-8512442662813131141,sweden,195.2,-0.44
7648254259055015256,sweden,703.2,0.0
1336990343922106258,sweden,1852.5333333333333,-0.36615385
1176391229201836984,sweden,491.2,-0.31428571
523748455264982590,sweden,799.2,-0.2
4030665740274030238,sweden,439.2,-0.44
-1116071411405785733,sweden,391.2,-0.44
-813450521880587292,sweden,318.4,0.0
-3695442683323654294,sweden,958.4,-0.34
-1471686302949907949,sweden,2444.0,-0.348
-5763135980401621976,sweden,172.0,-0.752
-5163244577925322560,sweden,279.2,-0.44
-6933240153169459626,sweden,479.2,-0.4
6607984461025679143,sweden,1227.2,0.0
2633495659338895268,sweden,305.6,-0.52
381331458428099539,sweden,284.0,-0.22
515674579444548610,sweden,222.4,-0.53
5753329468824540520,sweden,254.4,-0.5725
3811279450210719066,sweden,239.2,-0.66
-6438838261904178107,sweden,476.53333333333336,-0.23666667
-4316330058219804582,sweden,2621.04,-0.1935443
-9131104659566198263,sweden,159.2,-0.2
-9123518482720184877,sweden,524.0,-0.912
-4266040330018054163,sweden,319.2,-0.37666667
2883555632325379127,sweden,919.6,-0.34666667
-2219456405116525712,sweden,319.2,-0.4
-2173216497452104116,sweden,219.2,-0.36
-7601602294345863239,sweden,204.8,-0.55666667
-7242258836086551901,sweden,678.4,-0.33
2597287684763030164,sweden,1599.0,-0.23666667
45266355854029146,sweden,406.8,-0.46
-5720294246834577369,sweden,319.2,-0.2
3230124277984062236,sweden,954.0,-0.44857143
-6013839681898148573,sweden,1276.0,-0.33
-5777285916637068611,sweden,381.06666666666666,-0.235
-8652119673406251767,sweden,279.2,-0.6
-2474009771699503650,sweden,408.8,-0.39
8447894483580904323,sweden,1296.0,-0.2
2200964303134775941,sweden,947.0857142857144,-0.37772727
-3530201886709629060,sweden,647.2,-0.28
3052157569327484790,sweden,877.5999999999999,-0.56666667
1089733848510719346,sweden,278.4,-0.44
9117410939553832531,sweden,334.4,-0.455
-3868170457639464281,sweden,590.1333333333333,-0.16714286
1314757480229460543,sweden,2668.5333333333333,-0.29625
-7469599590055535282,sweden,380.0,-0.32
8774142163403797525,sweden,479.2,-0.2
6206250154476315740,sweden,959.2,-0.52
-375328133608731966,sweden,285.6,-0.475
866382876903851358,sweden,525.5999999999999,-0.52
-4242621825573482905,sweden,433.6,-0.22666667
6729561652189599449,sweden,588.123076923077,-0.17714286
-7784193774786242857,sweden,1693.6,-0.43285714
-6052721196434757518,sweden,494.4,-0.26333333
1228487359277514325,sweden,762.8000000000001,-0.14666667
5795260169250641189,sweden,308.0,-0.38
3579310027080256200,sweden,506.9333333333333,-0.37555556
8288340360181888835,sweden,392.4,-0.27666667
7528939859892705190,sweden,319.2,-0.6
-3111990773673910124,sweden,583.6,-0.39625
8356142937515051588,sweden,432.0,-0.17
4154843546054122909,sweden,560.0,0.0
-3002636608527968970,sweden,727.2,-0.32
-5128986498551557356,sweden,419.2,-0.3
-5603796134243022752,sweden,614.0533333333333,-0.45294118
7471810135169888314,sweden,1076.0,0.0
8598498972145119262,sweden,357.4666666666667,-0.20727273
-6278633938269894708,sweden,479.2,-0.2
-5617149579511354266,sweden,399.2,0.0
-6039569663088657079,sweden,1299.1999999999998,-0.44
2830604011909761462,sweden,918.8,-0.29666667
7289183600427941457,sweden,839.2,-0.26
-8162649702497573946,sweden,479.2,-0.26
-5767779576586978883,sweden,799.2,0.0
4182704187793268303,sweden,1393.8666666666668,-0.568
3167382694589501289,sweden,261.6,-0.56333333
6209217773775440610,sweden,2436.8,-0.15
-496186619589076569,sweden,1403.2,-0.41
669133440610441726,sweden,566.2,-0.378
-3268498343265948332,sweden,2439.2,-0.35333333
9006674534309852027,sweden,620.4,-0.54
